"group1","group2","weight"
"Nashville CocoaHeads","Nash.rb",2
"Nashville CocoaHeads","Nashville Christian Technologists and Entrepreneurs",1
"Nashville CocoaHeads","Stepping Out Social Dance Meetup",1
"Nashville CocoaHeads","NashReact",2
"Nashville CocoaHeads","WordPress Nashville",1
"Nashville CocoaHeads","freeCodeCamp Nashville",2
"Nashville CocoaHeads","Developer Launchpad Nashville",2
"Nashville CocoaHeads","Savvy Coders - Nashville",2
"Nashville CocoaHeads","Eat Love Nash",1
"Nashville CocoaHeads","Let's Talk Franklin Toastmasters Club",1
"Nashville CocoaHeads","Nashville PHP User Group",2
"Nashville CocoaHeads","Nashvegans!",1
"Nashville CocoaHeads","Volunteer Nashville",1
"Nashville CocoaHeads","Nashville Modern Excel & Power BI User Group",1
"Nashville CocoaHeads","Nashville Mobile .NET Developers",1
"Nashville CocoaHeads","20s in Nashville",1
"Nashville CocoaHeads","Nashville .NET User Group",2
"Nashville CocoaHeads","Nashville Blockchain Meetup",1
"Nashville CocoaHeads","Nashville Salesforce Admins & Developers Group",1
"Nashville CocoaHeads","PyNash",5
"Nashville CocoaHeads","Nashville Software Automation Professionals",1
"Nashville CocoaHeads","Nashville Software Beginners",1
"Nashville CocoaHeads","Nashville Java Users' Group",1
"Nashville CocoaHeads","Code for Nashville",5
"Nashville CocoaHeads","Nashville UX",6
"Nashville CocoaHeads","NashMicro - The Nashville Microcontroller Makers Group",3
"Nashville CocoaHeads","Nash |> Elixir",1
"Nashville CocoaHeads","Nashville Women Programmers",3
"Nashville CocoaHeads","Data Science Nashville",2
"Nashville CocoaHeads","Nashville Mobile Developers",12
"Nashville CocoaHeads","Nashville Machine Learning Meetup",1
"Nashville CocoaHeads","Nashville Game Developers",1
"Nashville CocoaHeads","WOMEN ""Word of Mouth Entrepreneurial Networkers""",1
"Nashville CocoaHeads","Franklin Developer Lunch & Learn",1
"Nashville CocoaHeads","¡Diablos Que Bailan! (Salsa Nashville)",2
"Nashville CocoaHeads","NashJS",5
"Nashville CocoaHeads","Nashville Music Programmers",1
"THE GARDEN OF GOOD","What the Pho!",1
"THE GARDEN OF GOOD","Interfaith Scripture Study",1
